city,osmid,length_m,highway_type,lanes,speed_limit,is_oneway,intersection_density,poi_schools,poi_hospitals,poi_markets,poi_bus_stops,poi_fuel,annual_rainfall_mm,avg_temp_c,fog_days_per_year,pop_density_km2,urban_share_pct,is_blackspot,cat_risk_score,cat_predicted,morth_predicted,mismatch_category,lat,lon
Delhi,422573101,109.8,residential,1,40,0,14,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.5813,76.9365
Delhi,422599928,25.6,residential,1,40,0,57,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.73521,77.02711
Delhi,1050970735,67.3,residential,1,40,0,65,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.72445,77.04806
Delhi,423301338,65.0,residential,1,40,0,56,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.63745,77.01398
Delhi,1122226239,43.6,tertiary,1,40,0,15,0,0,3,6,0,723.7,30.2,0.0,11320,97.5,0,0.0002,0,0,Safe (Both Agree),28.62688,77.21509
Delhi,555442548,10.6,tertiary,1,40,1,47,0,1,0,8,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.56356,77.1792
Delhi,1118629649,36.7,primary,3,40,1,8,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.6463,1,1,Safe (Both Agree),28.8053,77.11044
Delhi,191221893,23.5,residential,1,40,0,62,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.49319,77.31225
Delhi,1079372955,36.2,residential,1,40,0,11,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.53659,77.02371
Delhi,1071940558,86.9,residential,1,40,0,53,0,0,0,2,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.60648,77.10204
Delhi,"[1186104929, 1274772411]",79.6,primary,1,50,1,23,2,0,0,1,0,723.7,30.2,0.0,11320,97.5,1,1.0,1,1,Confirmed Black Spot,28.70764,77.1782
Delhi,1050973071,135.6,residential,1,40,0,15,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.73374,77.0759
Delhi,265927789,36.7,tertiary,1,40,0,60,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.63203,77.17695
Delhi,462681620,62.6,residential,1,20,0,31,0,2,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.60803,77.05308
Delhi,825370824,30.2,residential,1,40,0,24,0,1,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.65388,77.30793
Delhi,169477769,71.5,residential,1,40,0,29,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.52123,77.25822
Delhi,421726314,39.8,residential,1,40,0,62,2,3,0,1,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.61788,77.28356
Delhi,"[39451618, 39451611, 1428511836]",437.0,tertiary,1,40,1,1,0,0,2,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.58946,77.04378
Delhi,1326448662,19.6,residential,1,40,0,16,0,0,0,2,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.58004,77.21653
Delhi,1080481411,12.9,residential,1,40,0,20,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.57587,77.01284
Delhi,717907807,555.3,secondary,1,40,1,3,2,1,3,4,0,723.7,30.2,0.0,11320,97.5,1,0.8342,1,0,Government Blind Spot,28.62526,77.2095
Delhi,292171520,52.7,secondary,1,40,1,19,1,0,0,2,0,723.7,30.2,0.0,11320,97.5,1,0.9968,1,1,Confirmed Black Spot,28.66003,77.23799
Delhi,423070832,36.4,residential,1,40,0,23,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.68115,76.9717
Delhi,1075651251,38.1,residential,1,40,0,41,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.68154,77.27496
Delhi,320348690,32.6,residential,1,40,0,18,0,2,0,0,1,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.66084,77.21814
Delhi,1429910143,32.9,residential,1,40,0,21,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.65818,77.16161
Delhi,423284267,50.4,residential,1,40,0,75,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.74427,77.09248
Delhi,993808304,33.7,residential,1,40,0,64,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.68072,77.16663
Delhi,1078119540,71.3,residential,1,40,0,28,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.58249,76.95929
